Rank,Team,GM,W-L,REB,RPG,OPP REB,OPP RPG,REB MAR
1,Michigan St. (Big Ten),35,30-5,"1,439",41.1,"1,063",30.4,10.7
2,Wichita St. (AAC),33,25-8,"1,340",40.6,"1,013",30.7,9.9
3,North Carolina (ACC),37,26-11,"1,570",42.4,"1,216",32.9,9.6
4,New Mexico St. (WAC),34,28-6,"1,402",41.2,"1,103",32.4,8.8
5,Gonzaga (WCC),37,32-5,"1,475",39.9,"1,157",31.3,8.6
6,Duke (ACC),37,29-8,"1,522",41.1,"1,222",33,8.1
7,Boise St. (Mountain West),32,23-9,"1,232",38.5,973,30.4,8.1
8,Cincinnati (AAC),36,31-5,"1,413",39.3,"1,132",31.4,7.8
9,Sacred Heart (NEC),31,10-21,"1,239",40,"1,006",32.5,7.5
10,UC Irvine (Big West),35,18-17,"1,443",41.2,"1,180",33.7,7.5
11,Arizona (Pac-12),35,27-8,"1,277",36.5,"1,018",29.1,7.4
12,Xavier (Big East),35,29-6,"1,342",38.3,"1,093",31.2,7.1
13,Albany (NY) (America East),32,22-10,"1,191",37.2,964,30.1,7.1
14,UAB (C-USA),33,20-13,"1,257",38.1,"1,035",31.4,6.7
15,UNC Greensboro (SoCon),35,27-8,"1,303",37.2,"1,069",30.5,6.7
16,Louisiana (Sun Belt),34,27-7,"1,325",39,"1,099",32.3,6.6
17,Utah Valley (WAC),34,23-11,"1,297",38.1,"1,073",31.6,6.6
18,Texas A&M (SEC),35,22-13,"1,450",41.4,"1,223",34.9,6.5
18,Houston (AAC),35,27-8,"1,353",38.7,"1,126",32.2,6.5
20,Saint Mary's (CA) (WCC),36,30-6,"1,214",33.7,988,27.4,6.3
21,Idaho (Big Sky),31,22-9,"1,140",36.8,946,30.5,6.3
22,TCU (Big 12),33,21-12,"1,200",36.4,"1,001",30.3,6
23,Baylor (Big 12),34,19-15,"1,293",38,"1,090",32.1,6
24,Denver (Summit League),30,15-15,"1,108",36.9,929,31,6
25,Coastal Carolina (Sun Belt),32,14-18,"1,243",38.8,"1,056",33,5.8
26,Missouri St. (MVC),33,18-15,"1,277",38.7,"1,085",32.9,5.8
27,Stanford (Pac-12),35,19-16,"1,368",39.1,"1,170",33.4,5.7
28,Murray St. (OVC),32,26-6,"1,186",37.1,"1,005",31.4,5.7
29,New Hampshire (America East),31,10-21,"1,191",38.4,"1,016",32.8,5.6
30,Jacksonville St. (OVC),36,23-13,"1,371",38.1,"1,169",32.5,5.6
