Rank,Team,GM,W-L,PTS,PPG,OPP PTS,OPP PPG,SCR MAR
1,Cincinnati (AAC),36,31-5,"2,673",74.3,"2,071",57.5,16.7
2,Villanova (Big East),40,36-4,"3,463",86.6,"2,807",70.2,16.4
3,Gonzaga (WCC),37,32-5,"3,091",83.5,"2,505",67.7,15.8
4,Michigan St. (Big Ten),35,30-5,"2,807",80.2,"2,271",64.9,15.3
5,Duke (ACC),37,29-8,"3,121",84.4,"2,576",69.6,14.7
6,Purdue (Big Ten),37,30-7,"2,974",80.4,"2,431",65.7,14.7
7,Virginia (ACC),34,31-3,"2,283",67.1,"1,836",54,13.1
8,Saint Mary's (CA) (WCC),36,30-6,"2,772",77,"2,321",64.5,12.5
9,Murray St. (OVC),32,26-6,"2,515",78.6,"2,117",66.2,12.4
10,Louisiana (Sun Belt),34,27-7,"2,829",83.2,"2,408",70.8,12.4
11,SFA (Southland),35,28-7,"2,819",80.5,"2,386",68.2,12.4
12,South Dakota (Summit League),35,26-9,"2,832",80.9,"2,404",68.7,12.2
13,Houston (AAC),35,27-8,"2,685",76.7,"2,271",64.9,11.8
14,Northern Ky. (Horizon),32,22-10,"2,486",77.7,"2,112",66,11.7
15,New Mexico St. (WAC),34,28-6,"2,572",75.6,"2,183",64.2,11.4
16,Wichita St. (AAC),33,25-8,"2,731",82.8,"2,364",71.6,11.1
17,Furman (SoCon),33,23-10,"2,619",79.4,"2,260",68.5,10.9
18,UNC Greensboro (SoCon),35,27-8,"2,562",73.2,"2,189",62.5,10.7
19,Old Dominion (C-USA),32,25-7,"2,347",73.3,"2,010",62.8,10.5
20,West Virginia (Big 12),37,26-11,"2,964",80.1,"2,575",69.6,10.5
21,Michigan (Big Ten),41,33-8,"3,019",73.6,"2,596",63.3,10.3
22,South Dakota St. (Summit League),35,28-7,"2,958",84.5,"2,599",74.3,10.3
23,Utah Valley (WAC),34,23-11,"2,657",78.1,"2,310",67.9,10.2
24,Texas Tech (Big 12),37,27-10,"2,759",74.6,"2,397",64.8,9.8
25,Xavier (Big East),35,29-6,"2,953",84.4,"2,616",74.7,9.6
26,Kansas (Big 12),39,31-8,"3,174",81.4,"2,801",71.8,9.6
27,Nevada (Mountain West),37,29-8,"3,055",82.6,"2,703",73.1,9.5
28,FGCU (ASUN),35,23-12,"2,847",81.3,"2,515",71.9,9.5
29,Creighton (Big East),33,21-12,"2,756",83.5,"2,444",74.1,9.5
30,ETSU (SoCon),34,25-9,"2,556",75.2,"2,241",65.9,9.3
31,San Diego St. (Mountain West),33,22-11,"2,545",77.1,"2,240",67.9,9.2
32,Boise St. (Mountain West),32,23-9,"2,502",78.2,"2,210",69.1,9.1
33,Loyola Chicago (MVC),38,32-6,"2,721",71.6,"2,377",62.6,9.1
34,Vermont (America East),35,27-8,"2,587",73.9,"2,277",65.1,8.9
35,Arizona (Pac-12),35,27-8,"2,818",80.5,"2,509",71.7,8.8
36,Middle Tenn. (C-USA),33,25-8,"2,479",75.1,"2,188",66.3,8.8
37,Grand Canyon (WAC),34,22-12,"2,512",73.9,"2,213",65.1,8.8
38,Montana (Big Sky),34,26-8,"2,625",77.2,"2,329",68.5,8.7
39,Auburn (SEC),34,26-8,"2,783",81.9,"2,488",73.2,8.7
40,Ohio St. (Big Ten),34,25-9,"2,591",76.2,"2,297",67.6,8.6
41,Buffalo (MAC),36,27-9,"3,047",84.6,"2,742",76.2,8.5
42,Davidson (Atlantic 10),33,21-12,"2,519",76.3,"2,240",67.9,8.5
43,Belmont (OVC),33,24-9,"2,562",77.6,"2,284",69.2,8.4
44,North Carolina (ACC),37,26-11,"3,018",81.6,"2,711",73.3,8.3
45,Northern Colo. (Big Sky),38,26-12,"3,082",81.1,"2,772",72.9,8.2
