Rank,Team,W,L,Pct
1,Virginia (ACC),31,3,91.2
2,Villanova (Big East),36,4,90
3,Gonzaga (WCC),32,5,86.5
4,Cincinnati (AAC),31,5,86.1
5,Michigan St. (Big Ten),30,5,85.7
6,Loyola Chicago (MVC),32,6,84.2
7,Saint Mary's (CA) (WCC),30,6,83.3
8,Xavier (Big East),29,6,82.9
9,New Mexico St. (WAC),28,6,82.4
10,Murray St. (OVC),26,6,81.3
11,Purdue (Big Ten),30,7,81.1
12,Michigan (Big Ten),33,8,80.5
13,SFA (Southland),28,7,80
13,South Dakota St. (Summit League),28,7,80
15,Kansas (Big 12),31,8,79.5
16,Louisiana (Sun Belt),27,7,79.4
17,Duke (ACC),29,8,78.4
17,Nevada (Mountain West),29,8,78.4
19,Old Dominion (C-USA),25,7,78.1
20,Arizona (Pac-12),27,8,77.1
20,UNC Greensboro (SoCon),27,8,77.1
20,Vermont (America East),27,8,77.1
20,Houston (AAC),27,8,77.1
24,Auburn (SEC),26,8,76.5
24,Col. of Charleston (CAA),26,8,76.5
24,St. Bonaventure (Atlantic 10),26,8,76.5
24,Rhode Island (Atlantic 10),26,8,76.5
24,Montana (Big Sky),26,8,76.5
29,Wichita St. (AAC),25,8,75.8
29,Middle Tenn. (C-USA),25,8,75.8
31,Buffalo (MAC),27,9,75
32,Tennessee (SEC),26,9,74.3
32,South Dakota (Summit League),26,9,74.3
34,Ohio St. (Big Ten),25,9,73.5
34,ETSU (SoCon),25,9,73.5
36,Texas Tech (Big 12),27,10,73
37,Belmont (OVC),24,9,72.7
37,Penn (Ivy League),24,9,72.7
39,Boise St. (Mountain West),23,9,71.9
39,UC Santa Barbara (Big West),23,9,71.9
41,Wright St. (Horizon),25,10,71.4
41,Clemson (ACC),25,10,71.4
41,Bucknell (Patriot),25,10,71.4
44,Western Ky. (C-USA),27,11,71.1
45,Idaho (Big Sky),22,9,71
46,West Virginia (Big 12),26,11,70.3
46,North Carolina (ACC),26,11,70.3
46,Kentucky (SEC),26,11,70.3
49,Northeastern (CAA),23,10,69.7
49,Wagner (NEC),23,10,69.7
49,Lipscomb (ASUN),23,10,69.7
49,Furman (SoCon),23,10,69.7
53,UMBC (America East),25,11,69.4
53,Marshall (C-USA),25,11,69.4
55,Albany (NY) (America East),22,10,68.8
55,Miami (FL) (ACC),22,10,68.8
55,Northern Ky. (Horizon),22,10,68.8
55,Rider (MAAC),22,10,68.8
59,Georgia St. (Sun Belt),24,11,68.6
59,BYU (WCC),24,11,68.6
61,Northern Colo. (Big Sky),26,12,68.4
62,Toledo (MAC),23,11,67.6
62,Utah Valley (WAC),23,11,67.6
64,Kansas St. (Big 12),25,12,67.6
64,Mississippi St. (SEC),25,12,67.6
66,Penn St. (Big Ten),26,13,66.7
66,Southern California (Pac-12),24,12,66.7
66,Nebraska (Big Ten),22,11,66.7
66,San Diego St. (Mountain West),22,11,66.7
66,UC Davis (Big West),22,11,66.7
71,Utah (Pac-12),23,12,65.7
71,Florida St. (ACC),23,12,65.7
71,FGCU (ASUN),23,12,65.7
71,Arkansas (SEC),23,12,65.7
75,Nicholls (Southland),21,11,65.6
75,Fresno St. (Mountain West),21,11,65.6
77,Grand Canyon (WAC),22,12,64.7
77,Southeastern La. (Southland),22,12,64.7
77,Seton Hall (Big East),22,12,64.7
80,Weber St. (Big Sky),20,11,64.5
81,Jacksonville St. (OVC),23,13,63.9
81,Radford (Big South),23,13,63.9
81,Oregon (Pac-12),23,13,63.9
84,Davidson (Atlantic 10),21,12,63.6
84,UCLA (Pac-12),21,12,63.6
84,NC State (ACC),21,12,63.6
84,TCU (Big 12),21,12,63.6
84,Creighton (Big East),21,12,63.6
84,Ga. Southern (Sun Belt),21,12,63.6
84,Canisius (MAAC),21,12,63.6
84,Virginia Tech (ACC),21,12,63.6
92,Eastern Mich. (MAC),22,13,62.9
92,Texas A&M (SEC),22,13,62.9
94,Navy (Patriot),20,12,62.5
94,Cal St. Fullerton (Big West),20,12,62.5
94,Arizona St. (Pac-12),20,12,62.5
97,Syracuse (ACC),23,14,62.2
98,Wofford (SoCon),21,13,61.8
98,UNC Asheville (Big South),21,13,61.8
98,Memphis (AAC),21,13,61.8
98,Washington (Pac-12),21,13,61.8
98,Florida (SEC),21,13,61.8
98,UT Arlington (Sun Belt),21,13,61.8
104,Tulsa (AAC),19,12,61.3
104,William & Mary (CAA),19,12,61.3
104,Hofstra (CAA),19,12,61.3
104,Winthrop (Big South),19,12,61.3
108,Louisville (ACC),22,14,61.1
109,Bradley (MVC),20,13,60.6
109,UNLV (Mountain West),20,13,60.6
109,UAB (C-USA),20,13,60.6
109,Wyoming (Mountain West),20,13,60.6
109,Southern Ill. (MVC),20,13,60.6
109,Missouri (SEC),20,13,60.6
115,Providence (Big East),21,14,60
115,Butler (Big East),21,14,60
115,Marquette (Big East),21,14,60
118,Liberty (Big South),22,15,59.5
119,Maryland (Big Ten),19,13,59.4
119,Ball St. (MAC),19,13,59.4
119,UCF (AAC),19,13,59.4
122,Portland St. (Big Sky),20,14,58.8
122,San Diego (WCC),20,14,58.8
122,Seattle U (WAC),20,14,58.8
122,Iona (MAAC),20,14,58.8
126,Sam Houston (Southland),21,15,58.3
126,Oklahoma St. (Big 12),21,15,58.3
126,Notre Dame (ACC),21,15,58.3
126,Central Mich. (MAC),21,15,58.3
130,Saint Francis (PA) (NEC),18,13,58.1
131,Colgate (Patriot),19,14,57.6
131,Hartford (America East),19,14,57.6
131,Lamar University (Southland),19,14,57.6
131,Niagara (MAAC),19,14,57.6
131,Tennessee Tech (OVC),19,14,57.6
131,Oakland (Horizon),19,14,57.6
137,N.C. A&T (MEAC),20,15,57.1
137,UTSA (C-USA),20,15,57.1
137,Eastern Wash. (Big Sky),20,15,57.1
140,Hawaii (Big West),17,13,56.7
141,San Francisco (WCC),22,17,56.4
142,Towson (CAA),18,14,56.3
142,Oklahoma (Big 12),18,14,56.3
